Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Mean,Median,StdDev
2019-09-24,0.9844,-0.9886,-0.9886,0.979,0.979,0.9819,0.9819,0.6404,0.6404,0.9713,0.0129,0.0129,0.9618,0.954,0.8126,-0.9214,-0.9214,-0.09,0.9767,0.9767,0.2732,0.5984,0.5984,,,,,,,,,,,,,,,,0.4098217391304348,0.6404,0.6958556285891445
2019-09-23,0.9692,0.3612,0.9954,0.7003,0.7003,-0.9919,-0.9919,0.7506,-0.5423,-0.2732,0.9877,0.5859,-0.8402,0.886,0.886,-0.1628,0.3962,0.9877,0.9954,0.9741,0.8528,0.7579,0.9976,,,,,,,,,,,,,,,,0.434,0.72545,0.6671162317017927
2019-09-22,0.9976,0.9904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,0.994,0.0029393876913398525
2019-09-21,0.9904,0.9904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9904,0.9904,0.0
2019-09-20,0.9574,0.8258,0.9574,-0.1154,-0.474,0.8572,-0.474,0.8258,0.5956,-0.9153,0.9872,0.8004,0.9586,0.9586,0.1531,0.9184,0.8553,0.9184,-0.9311,-0.9311,,,,,,,,,,,,,,,,,,,0.386415,0.8258,0.7042006318052424
2019-09-19,0.0516,0.9433,0.9295,0.9295,0.9872,0.886,0.9867,0.9867,0.9602,-0.7391,0.9602,0.3818,0.3818,0.9716,0.9289,0.9885,-0.9968,,,,,,,,,,,,,,,,,,,,,,0.6198588235294117,0.9295,0.5937415415447805
2019-09-18,-0.9752,-0.9915,-0.9968,0.8749,0.9521,0.9521,0.9881,0.9881,0.9871,0.9871,-0.9915,0.9847,0.9847,-0.9672,0.8625,0.9716,0.9716,0.8625,-0.9719,-0.9835,0.969,0.969,,,,,,,,,,,,,,,,,0.3376136363636364,0.9521,0.8916329254184285
2019-09-17,0.9515,0.7845,0.3668,0.7351,0.9153,0.3668,0.7351,0.9783,0.9783,0.9811,0.9515,0.9893,0.9893,0.4933,0.9393,0.9393,-0.296,-0.296,0.4331,-0.7506,-0.7506,,,,,,,,,,,,,,,,,,0.5445095238095238,0.7598,0.5544624436135706
2019-09-16,-0.8402,0.9582,0.7876,0.7876,0.9516,0.9462,0.9462,0.276,0.9582,0.6201,0.0772,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5390583333333333,0.7876,0.5200594119126004
2019-09-15,-0.9962,0.9451,0.9451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29800000000000004,0.62155,0.8056330029858509
2019-09-14,0.8807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8807,0.8807,0.0
